# x_shifted(Å)   v_internal(dx/dt_internal)
-0.2847716972 0.0831829234
-0.2134371596 0.2146562178
-0.2668067058 -0.0882368771
-0.2528289626 0.0583904668
-0.3085558067 -0.0377933291
-0.2051531989 -0.1159197342
-0.2582700067 -0.0338401169
-0.1467676377 0.0882188458
-0.2407380672 0.3228866533
-0.2597912365 0.1540350919
-0.2260081161 -0.0923412963
-0.2318402198 0.1712393583
-0.3175155075 -0.3285070952
-0.2736024588 0.0584765127
-0.2126624548 0.2480862511
-0.2144637712 0.0332997719
-0.2769032056 0.0132811129
-0.3218154620 -0.0185954214
-0.2898442492 -0.0701276250
-0.2753489086 0.0515292404
-0.2038633599 0.0322345741
-0.2644780207 -0.1365496147
-0.2761823831 -0.2071456130
-0.2645133883 -0.0931787680
-0.3133659043 -0.1774273575
-0.1636952228 0.2156457902
-0.3150975202 0.1356053232
-0.2993995527 0.1834766506
-0.1549289662 0.0276185919
-0.2415691546 0.2078609550
-0.2288981825 0.1067562380
-0.1453933944 0.0720798274
-0.2927995164 -0.2223006705
-0.1428805354 0.2038137937
-0.2247411963 0.0765370783
-0.2936935474 0.1180964024
-0.2866219830 0.1774835962
-0.2711160422 -0.1922540440
-0.1883345279 0.0143235289
-0.2757713419 -0.0020870012
-0.3036116770 -0.0044795575
-0.2659967547 0.1937992757
-0.2709246840 0.0564057536
-0.2420181234 -0.2625538823
-0.2513744154 0.0304631719
-0.1666942200 0.2257351854
-0.1488610068 0.1653362222
-0.2278153609 -0.0703125385
-0.2136231483 0.0188561279
-0.1884345634 0.0246082920
-0.2668521387 0.0098795591
-0.1643357514 -0.0003032079
-0.3334621387 0.0533109502
-0.1789285997 0.2108505657
-0.2090282372 -0.0037562544
-0.2689586993 -0.1383743709
-0.1811821412 -0.1249029888
-0.2076613278 0.1391804042
-0.2108002696 -0.1592928695
-0.2808008596 0.0109285867
-0.1920908508 -0.1543757510
-0.2925917910 0.1202231794
-0.2688893080 0.1184993648
-0.2716322792 0.0668999253
-0.2779232537 -0.1751355174
-0.2226293580 -0.0095578256
-0.2204002972 -0.0846959180
-0.2490563978 0.1749012156
-0.2237119528 0.0040743265
-0.2937963484 0.2675620647
-0.2714588878 0.1690564725
-0.1783556562 0.0818548194
-0.2815400087 0.0688881014
